,release_date,count,emotion
291,1961,1.8450184501845017,surprise
292,1962,1.2944983818770228,surprise
293,1963,1.084010840108401,surprise
294,1964,0.5221932114882507,surprise
295,1965,1.4044943820224718,surprise
296,1966,0.5830903790087464,surprise
297,1967,0.25380710659898476,surprise
298,1968,0.25773195876288657,surprise
299,1969,0.6211180124223602,surprise
300,1970,0.8522727272727272,surprise
301,1971,0.8264462809917356,surprise
302,1972,0.5730659025787965,surprise
303,1973,0.25510204081632654,surprise
304,1974,1.1049723756906076,surprise
305,1975,0.7371007371007371,surprise
306,1976,1.6853932584269662,surprise
307,1977,0.7009345794392523,surprise
308,1978,1.0893246187363834,surprise
309,1979,0.6211180124223602,surprise
310,1980,0.7858546168958742,surprise
311,1981,1.153846153846154,surprise
312,1982,0.8316008316008316,surprise
313,1983,1.520912547528517,surprise
314,1984,1.0526315789473684,surprise
315,1985,0.2457002457002457,surprise
316,1986,1.0775862068965518,surprise
317,1987,0.9195402298850575,surprise
318,1988,1.1848341232227488,surprise
319,1989,0.9174311926605505,surprise
320,1990,1.4563106796116505,surprise
321,1991,0.3976143141153081,surprise
322,1992,1.1811023622047243,surprise
323,1993,0.8247422680412372,surprise
324,1994,0.21505376344086022,surprise
325,1995,0.5194805194805194,surprise
326,1996,0.9708737864077669,surprise
327,1997,0.9925558312655087,surprise
328,1998,0.9708737864077669,surprise
329,1999,1.2711864406779663,surprise
330,2000,1.0443864229765014,surprise
331,2001,1.7167381974248928,surprise
332,2002,0.6423982869379015,surprise
333,2003,2.553191489361702,surprise
334,2004,1.6701461377870561,surprise
335,2005,1.5909090909090908,surprise
336,2006,0.5692599620493358,surprise
337,2007,0.6493506493506493,surprise
338,2008,0.40816326530612246,surprise
339,2009,1.0050251256281406,surprise
340,2010,0.9569377990430622,surprise
341,2011,0.9416195856873822,surprise
342,2012,0.8503401360544218,surprise
343,2013,0.8928571428571428,surprise
344,2014,0.0,surprise
345,2015,1.1345218800648298,surprise
346,2016,0.7504690431519699,surprise
347,2017,1.2121212121212122,surprise
348,2018,0.45941807044410415,surprise
349,2019,0.5617977528089888,surprise
350,1950,60.78431372549019,joy
351,1951,55.172413793103445,joy
352,1952,50.0,joy
353,1953,39.58333333333333,joy
354,1954,56.88073394495413,joy
355,1955,54.71698113207547,joy
356,1956,56.49999999999999,joy
357,1957,46.835443037974684,joy
358,1958,50.174216027874564,joy
359,1959,50.96153846153846,joy
360,1960,54.379562043795616,joy
361,1961,47.97047970479705,joy
362,1962,49.83818770226537,joy
363,1963,46.883468834688344,joy
364,1964,50.391644908616186,joy
365,1965,45.78651685393258,joy
366,1966,51.31195335276968,joy
367,1967,49.23857868020304,joy
368,1968,48.1958762886598,joy
369,1969,49.68944099378882,joy
370,1970,56.53409090909091,joy
371,1971,54.269972451790636,joy
372,1972,51.57593123209169,joy
373,1973,54.33673469387755,joy
374,1974,53.86740331491713,joy
375,1975,50.61425061425061,joy
376,1976,53.93258426966292,joy
377,1977,53.50467289719626,joy
378,1978,48.5838779956427,joy
379,1979,49.4824016563147,joy
380,1980,48.1335952848723,joy
381,1981,49.23076923076923,joy
382,1982,45.11434511434512,joy
383,1983,47.52851711026616,joy
384,1984,44.21052631578947,joy
385,1985,46.928746928746925,joy
386,1986,51.293103448275865,joy
387,1987,52.18390804597701,joy
388,1988,46.91943127962085,joy
389,1989,49.31192660550459,joy
390,1990,47.57281553398058,joy
391,1991,50.49701789264414,joy
392,1992,48.62204724409449,joy
393,1993,48.865979381443296,joy
394,1994,50.752688172043015,joy
395,1995,49.35064935064935,joy
396,1996,49.75728155339806,joy
397,1997,49.62779156327544,joy
398,1998,48.786407766990294,joy
399,1999,50.0,joy
400,2000,53.26370757180157,joy
401,2001,48.06866952789699,joy
402,2002,43.897216274089935,joy
403,2003,45.744680851063826,joy
404,2004,51.356993736951985,joy
405,2005,47.04545454545455,joy
406,2006,51.23339658444023,joy
407,2007,50.649350649350644,joy
408,2008,45.91836734693878,joy
409,2009,48.91122278056951,joy
410,2010,50.717703349282296,joy
411,2011,48.39924670433145,joy
412,2012,49.82993197278912,joy
413,2013,55.17857142857143,joy
414,2014,51.02420856610801,joy
415,2015,46.19124797406807,joy
416,2016,49.15572232645403,joy
417,2017,51.515151515151516,joy
418,2018,50.22970903522205,joy
419,2019,52.99625468164793,joy
